entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,profitable
2023-01-04,2023-01-23,124.36565399169922,138.88287353515625,80,1150.27,11.67,True
2023-03-13,2023-03-16,148.32127380371094,153.62442016601562,75,386.21,3.58,True
2023-08-04,2023-09-06,179.6392822265625,180.7911834716797,64,62.15,0.64,True
2023-09-07,2023-11-01,175.50315856933594,171.9547576904297,65,-241.82,-2.02,False
2023-11-03,2023-11-10,174.60369873046875,184.4834899902344,64,620.5,5.66,True
2024-01-05,2024-01-08,179.31716918945312,183.6521148681641,66,273.99,2.42,True
2024-01-12,2024-01-18,184.0084228515625,186.69058227539065,66,164.7,1.46,True
2024-01-22,2024-02-29,191.89649963378903,179.11985778808594,64,-829.17,-6.66,False
2024-03-01,2024-03-21,178.0396728515625,169.82443237304688,64,-536.64,-4.61,False
2024-03-22,2024-04-11,170.72625732421875,173.46133422851562,64,163.94,1.6,True
2024-04-17,2024-05-07,166.48483276367188,180.75498962402344,66,929.9,8.57,True
2024-07-26,2024-07-31,216.2872467041016,220.3756103515625,55,212.74,1.89,True
2024-08-06,2024-08-07,205.6395874023437,208.209701538086,59,139.35,1.25,True
2024-08-08,2024-08-09,211.6729278564453,214.58045959472656,58,156.19,1.37,True
2024-09-20,2024-09-30,226.71075439453125,231.4794464111328,55,249.55,2.1,True
2024-11-01,2024-11-06,221.45529174804688,221.2665100097656,57,-23.37,-0.09,False
2024-11-08,2024-12-18,225.72691345214844,246.7023468017578,56,1160.81,9.29,True
